outcome,n,r2,ar2
hicp_yoy,31,0.802747229366105,0.731018949135597
unemp_rate,31,0.709888403246647,0.604393277154519
hicp,31,0.896041169306515,0.858237958145247
imports_world_meur,31,0.8475597462344,0.792126926683273
exports_world_meur,31,0.782646097080458,0.703608314200624
log_imp,31,0.636267835037327,0.504001593232718
log_exp,31,0.710284773849379,0.604933782521881
