term,estimate,std.error,statistic,p.value,conf.low,conf.high
rel::89:treated,1.20000000000321,,,,,
rel::90:treated,1.20000000000321,,,,,
rel::91:treated,1.50000000000319,,,,,
rel::92:treated,1.10000000000327,,,,,
rel::93:treated,1.00000000000325,,,,,
rel::94:treated,1.10000000000351,,,,,
rel::95:treated,0.9000000000035,,,,,
rel::96:treated,1.00000000000326,,,,,
rel::97:treated,0.900000000003465,,,,,
rel::98:treated,0.900000000003497,,,,,
rel::99:treated,0.800000000003326,,,,,
rel::100:treated,1.10000000000351,,,,,
rel::101:treated,0.800000000003286,,,,,
rel::102:treated,0.800000000003433,,,,,
rel::103:treated,0.800000000003202,,,,,
rel::104:treated,0.800000000003328,,,,,
rel::105:treated,0.800000000003262,,,,,
rel::106:treated,1.00000000000342,,,,,
rel::107:treated,0.900000000003308,,,,,
rel::108:treated,0.400000000003146,,,,,
rel::109:treated,0.500000000003459,,,,,
rel::110:treated,0.500000000003315,,,,,
rel::111:treated,0.200000000003467,,,,,
rel::112:treated,0.200000000003271,,,,,
rel::113:treated,3.22764037719026e-12,,,,,
rel::114:treated,-0.0999999999966636,,,,,
rel::115:treated,-0.499999999996684,,,,,
rel::116:treated,-0.299999999996762,,,,,
rel::117:treated,-0.299999999996639,,,,,
rel::118:treated,-0.199999999996833,,,,,
rel::119:treated,-0.699999999996764,,,,,
rel::120:treated,-0.399999999996661,,,,,
rel::121:treated,-0.199999999996655,,,,,
rel::122:treated,-0.699999999996798,,,,,
rel::123:treated,-0.799999999996747,,,,,
rel::124:treated,-0.699999999996669,,,,,
rel::125:treated,-0.299999999996763,,,,,
rel::126:treated,-0.699999999996835,,,,,
rel::127:treated,-0.699999999996791,,,,,
rel::128:treated,-0.49999999999683,,,,,
rel::129:treated,-0.799999999996798,,,,,
rel::130:treated,-0.899999999996688,,,,,
rel::131:treated,-0.499999999996705,,,,,
rel::132:treated,-0.399999999996694,,,,,
rel::133:treated,-0.0999999999966783,,,,,
rel::134:treated,-0.0999999999967596,,,,,
rel::135:treated,3.34354766096112e-12,,,,,
rel::136:treated,-0.19999999999684,,,,,
rel::137:treated,-0.19999999999682,,,,,
rel::138:treated,-0.299999999996834,,,,,
rel::139:treated,0.100000000003181,,,,,
rel::140:treated,-0.0999999999968297,,,,,
rel::141:treated,-0.499999999996816,,,,,
rel::142:treated,-0.299999999996818,,,,,
rel::143:treated,-0.399999999996797,,,,,
