term,estimate,std.error,statistic,p.value,conf.low,conf.high
rel::97:treated,-1.64729273331944,,,,,
rel::98:treated,-1.78828563743807,,,,,
rel::99:treated,-1.50063589410006,,,,,
rel::100:treated,-1.59141956302913,,,,,
rel::101:treated,-1.62125390589225,,,,,
rel::102:treated,-1.14494376657232,,,,,
rel::103:treated,-0.996484220172212,,,,,
rel::104:treated,-0.960124375782272,,,,,
rel::105:treated,-1.18747280461183,,,,,
rel::106:treated,-0.640906490592909,,,,,
rel::107:treated,-0.439946671070304,,,,,
rel::108:treated,0.279328911982815,,,,,
rel::109:treated,0.392659183783206,,,,,
rel::110:treated,0.724111440347452,,,,,
rel::111:treated,0.994949526397032,,,,,
rel::112:treated,0.451427187570933,,,,,
rel::113:treated,0.192020343112995,,,,,
rel::114:treated,0.175314958539158,,,,,
rel::115:treated,0.204937962127876,,,,,
rel::116:treated,0.360099230655498,,,,,
rel::117:treated,0.201084940643971,,,,,
rel::118:treated,0.118762697340423,,,,,
rel::119:treated,-0.00865929101341767,,,,,
rel::120:treated,-0.0361742244686152,,,,,
rel::121:treated,-0.356930931402497,,,,,
rel::122:treated,-0.0771505118243105,,,,,
rel::123:treated,-0.261650335642541,,,,,
rel::124:treated,-0.0835570125230425,,,,,
rel::125:treated,0.0834137169840421,,,,,
rel::126:treated,0.212189694587625,,,,,
rel::127:treated,0.100998037972534,,,,,
rel::128:treated,0.242548902695091,,,,,
rel::129:treated,-0.0278600839772407,,,,,
rel::130:treated,-0.102645677849408,,,,,
rel::131:treated,-0.29746012382912,,,,,
rel::132:treated,-0.779430923602764,,,,,
rel::133:treated,-0.861555353235553,,,,,
rel::134:treated,-1.36865591177381,,,,,
rel::135:treated,-1.38290384412751,,,,,
rel::136:treated,-1.24013161547221,,,,,
rel::137:treated,-1.8133582315641,,,,,
rel::138:treated,-2.0534618210468,,,,,
rel::139:treated,-2.29867232664468,,,,,
rel::140:treated,-2.18713911472612,,,,,
rel::141:treated,-1.55853367677547,,,,,
rel::142:treated,-1.44912495264975,,,,,
rel::143:treated,-0.980524618756924,,,,,
rel::144:treated,-1.69786912584294,,,,,
rel::145:treated,-1.44578481482636,,,,,
rel::146:treated,-1.02608696285023,,,,,
rel::147:treated,-1.61190027079095,,,,,
rel::148:treated,-0.911485464242802,,,,,
rel::149:treated,-0.227028701119256,,,,,
rel::150:treated,0.00258196307957281,,,,,
rel::151:treated,-0.0701931875201746,,,,,
rel::152:treated,-0.240122646450808,,,,,
rel::153:treated,-0.66147376778135,,,,,
rel::154:treated,-0.246718420315561,,,,,
rel::155:treated,-0.561241583419691,,,,,
rel::156:treated,-1.32729415081609,,,,,
rel::157:treated,-1.94932360596893,,,,,
rel::158:treated,-2.60110767026967,,,,,
rel::159:treated,-2.6201333493605,,,,,
rel::160:treated,-3.71607434911629,,,,,
rel::161:treated,-4.22221015370421,,,,,
rel::162:treated,-4.676641055637,,,,,
rel::163:treated,-3.95723331373295,,,,,
rel::164:treated,-4.48767599887214,,,,,
rel::165:treated,-1.30874335891043,,,,,
rel::166:treated,-2.35894338861511,,,,,
rel::167:treated,-1.98475825672527,,,,,
rel::168:treated,-4.22927137747078,,,,,
rel::169:treated,-3.24356850279115,,,,,
rel::170:treated,-1.87322213895806,,,,,
rel::171:treated,-0.48038517253551,,,,,
rel::172:treated,-0.39258861001542,,,,,
rel::173:treated,-0.0734459125748173,,,,,
rel::174:treated,-0.0969079800095687,,,,,
rel::175:treated,-0.706902044147291,,,,,
rel::176:treated,0.461345962011168,,,,,
rel::177:treated,-1.93263422257188,,,,,
rel::178:treated,-1.38151726344984,,,,,
rel::179:treated,-1.23561035482808,,,,,
