outcome,kept_controls,beta_D_time,beta_D_iid,beta_D_hc,beta_D_cl2
hicp_yoy,fx_vol,0.348348654442619,0.348348654442619,0.348348654442619,0.348348654442619
unemp_rate,fx_vol,1.73051162066341,1.73051162066341,1.73051162066341,1.73051162066341
hicp,fx_vol,2.05295640533814,2.05295640533814,2.05295640533814,2.05295640533814
imports_world_meur,fx_vol,2746.20874467949,2746.20874467949,2746.20874467949,2746.20874467949
exports_world_meur,fx_vol,3597.44032435817,3597.44032435817,3597.44032435817,3597.44032435817
log_imp,fx_vol,-0.0665685291422028,-0.0665685291422028,-0.0665685291422028,-0.0665685291422028
log_exp,fx_vol,-0.0626795796264412,-0.0626795796264412,-0.0626795796264412,-0.0626795796264412
