outcome,label,beta,se,p,sort_idx
log_exp,-3,0.00974178906561819,5.87724200970407e-09,0,-3
log_exp,-2,-0.0450638578610558,4.35080019730154e-09,0,-2
log_exp,-1,0,0,1,-1
log_exp,0,-0.00992172375902989,2.76654292628723e-09,0,0
log_exp,1,0.0149569556402867,4.54578770212775e-09,0,1
log_exp,2,0.0184637587261332,5.95057437384147e-09,0,2
log_exp,3,0.000774416102915516,4.54578770212775e-09,0,3
log_exp,4,0.064844341117098,4.35080019730154e-09,0,4
log_exp,5,0.0356289842038411,4.54578770212775e-09,0,5
log_exp,6,0.0482479199137416,5.80298301760758e-09,0,6
log_exp,Post_Tail,0.0238193212929434,0.0213912220459642,0.265489824484187,999
