Bin,Export (log),Export (mil. EUR),HICP (index),Import (log),Import (mil. EUR),Inflace YoY (p.b.),Nezaměstnanost (p.b.)
Pre-trend (-12 až -7),0.02 (0.01),273.55** (115.49),-0.30 (0.28),-0.01 (0.01),20.15 (90.02),-0.26 (0.18),0.21 (0.13)
Měsíc události (t=0),0.04*** (0.01),-1207.89*** (114.30),0.62*** (0.22),0.03*** (0.01),-499.97*** (84.31),1.04*** (0.19),-0.49*** (0.12)
1 až 6 měsíců po,0.02 (0.05),-1258.17*** (249.58),1.27*** (0.37),0.06 (0.05),-770.31*** (83.55),1.48*** (0.31),-0.53*** (0.13)
7 až 12 měsíců po,0.00 (0.02),91.57 (181.68),1.36*** (0.27),0.02** (0.01),89.04 (134.07),0.98*** (0.21),-0.31** (0.13)
13 až 18 měsíců po,0.02* (0.01),13.11 (163.19),1.54*** (0.24),0.06*** (0.01),696.13*** (145.24),0.09 (0.33),-0.52*** (0.16)
Pre-Tail,-0.10*** (0.03),-480.63*** (184.81),-0.68 (0.42),-0.08*** (0.02),-431.29** (180.86),0.56 (0.39),-1.12*** (0.34)
Post-Tail,0.02 (0.02),1296.34*** (290.54),5.39*** (0.72),0.06*** (0.02),1924.50*** (308.35),1.40** (0.58),-0.39* (0.21)
N,240,240,240,240,240,228,240
R-squared,0.22,0.96,0.81,0.28,0.94,0.21,0.65
