Bin,Export (log),Export (mil. EUR),HICP (index),Import (log),Import (mil. EUR),Inflace YoY (p.b.),Nezaměstnanost (p.b.)
Pre-trend (-12 až -7),-0.02*** (0.00),-270.84*** (45.64),0.02 (0.17),0.00 (0.01),-25.26 (81.41),-0.35* (0.20),-0.32** (0.15)
Měsíc události (t=0),-0.01*** (0.00),-217.97*** (46.14),-0.49*** (0.02),-0.02* (0.01),-183.46** (75.54),0.09 (0.10),0.30*** (0.04)
1 až 6 měsíců po,0.06*** (0.01),253.50*** (64.57),-0.34*** (0.07),0.01 (0.01),-173.53** (81.75),-0.07 (0.11),0.17*** (0.07)
7 až 12 měsíců po,0.03*** (0.01),-365.08* (197.93),0.23 (0.18),0.02 (0.01),-282.40* (153.88),0.49* (0.25),-0.06 (0.18)
13 až 18 měsíců po,0.05 (0.04),-1352.78*** (264.24),1.28*** (0.25),0.08* (0.04),-955.90*** (92.88),1.69*** (0.23),-0.49*** (0.10)
Pre-Tail,-0.10*** (0.03),-690.69*** (156.57),-0.75* (0.41),-0.09*** (0.03),-777.53*** (165.23),1.22*** (0.29),-1.45*** (0.31)
Post-Tail,0.05*** (0.01),835.55*** (296.29),4.19*** (0.84),0.07*** (0.02),1290.72*** (352.82),1.26*** (0.46),-0.30 (0.20)
N,240,240,240,240,240,228,240
R-squared,0.28,0.95,0.74,0.33,0.93,0.23,0.67
