outcome,kept,dropped
hicp_yoy,fx_vol,""
unemp_rate,fx_vol,""
hicp,fx_vol,""
imports_world_meur,fx_vol,""
exports_world_meur,fx_vol,""
mro,"",fx_vol
log_imp,fx_vol,""
log_exp,fx_vol,""
