outcome,n,r2,ar2,aic,bic
hicp_yoy,96,,,332.776048156293,463.557805921152
unemp_rate,120,,,411.663178612181,587.27515840745
hicp,120,,,314.543337681207,490.155317476476
imports_world_meur,120,,,1742.94626826123,1918.5582480565
exports_world_meur,120,,,1794.66904366498,1970.28102346024
log_imp,120,,,-349.681507507967,-174.069527712698
log_exp,120,,,-369.797652692313,-194.185672897044
