outcome,label,beta,se,p,sort_idx,r2,ar2,bp_p
hicp_yoy,Pre_Tail,0.0163375909387911,0.370217600547169,0.964801020186815,-999,0.222753956412887,0.0905420005449754,0.633074304794585
hicp_yoy,-12,-0.716920837661011,0.0518703309783124,1.89338637642713e-43,-12,0.222753956412887,0.0905420005449754,0.633074304794585
hicp_yoy,-11,-0.538555923274639,0.0471548463460507,3.28399006109927e-30,-11,0.222753956412887,0.0905420005449754,0.633074304794585
hicp_yoy,-10,-0.722784155825939,0.0424393617094953,4.8382476507367e-65,-10,0.222753956412887,0.0905420005449754,0.633074304794585
hicp_yoy,-9,-0.895889794764862,0.0377238770754264,1.13557324273589e-124,-9,0.222753956412887,0.0905420005449754,0.633074304794585
hicp_yoy,-8,-1.03080068180029,0.0330083924448337,4.38092307104579e-214,-8,0.222753956412887,0.0905420005449754,0.633074304794585
hicp_yoy,-7,-0.925743934617015,0.0282929078079194,8.11405186698368e-235,-7,0.222753956412887,0.0905420005449754,0.633074304794585
hicp_yoy,-6,-1.07342970877143,0.023577423177199,0,-6,0.222753956412887,0.0905420005449754,0.633074304794585
hicp_yoy,-5,-0.809155631530924,0.0188619385406691,0,-5,0.222753956412887,0.0905420005449754,0.633074304794585
hicp_yoy,-4,-0.740504947090587,0.014146453911692,0,-4,0.222753956412887,0.0905420005449754,0.633074304794585
hicp_yoy,-3,-0.551825410542712,0.00943096928193991,0,-3,0.222753956412887,0.0905420005449754,0.633074304794585
hicp_yoy,-2,-0.0759895202009346,0.00471548465216522,2.00517897159929e-58,-2,0.222753956412887,0.0905420005449754,0.633074304794585
hicp_yoy,-1,0,0,1,-1,0.222753956412887,0.0905420005449754,0.633074304794585
hicp_yoy,0,0.500965649106462,0.00471548464327176,0,0,0.222753956412887,0.0905420005449754,0.633074304794585
hicp_yoy,1,0.509078672028346,0.00943096927756998,0,1,0.222753956412887,0.0905420005449754,0.633074304794585
hicp_yoy,2,0.360171533941203,0.014146453916842,5.44312563283623e-143,2,0.222753956412887,0.0905420005449754,0.633074304794585
hicp_yoy,3,0.927263240601239,0.0188619385468376,0,3,0.222753956412887,0.0905420005449754,0.633074304794585
hicp_yoy,4,1.16123192065211,0.0235774231755171,0,4,0.222753956412887,0.0905420005449754,0.633074304794585
hicp_yoy,5,1.40030751681816,0.0282929078115886,0,5,0.222753956412887,0.0905420005449754,0.633074304794585
hicp_yoy,6,1.28263939546776,0.0330083924454033,0,6,0.222753956412887,0.0905420005449754,0.633074304794585
hicp_yoy,7,0.647899048085279,0.037723877076325,4.10250248999234e-66,7,0.222753956412887,0.0905420005449754,0.633074304794585
hicp_yoy,8,0.532355414527698,0.0424393617089857,4.29295707260473e-36,8,0.222753956412887,0.0905420005449754,0.633074304794585
hicp_yoy,9,0.0576201712030869,0.0471548463458737,0.221732095923278,9,0.222753956412887,0.0905420005449754,0.633074304794585
hicp_yoy,10,0.768829768857258,0.0518703309770976,1.05359236324023e-49,10,0.222753956412887,0.0905420005449754,0.633074304794585
hicp_yoy,11,0.510610548408848,0.0565858156128316,1.81925912528177e-19,11,0.222753956412887,0.0905420005449754,0.633074304794585
hicp_yoy,12,0.0847777870008598,0.0613013002481015,0.166674425946406,12,0.222753956412887,0.0905420005449754,0.633074304794585
hicp_yoy,13,0.664456185509745,0.0660167848806429,7.8920787455756e-24,13,0.222753956412887,0.0905420005449754,0.633074304794585
hicp_yoy,14,-0.0420935304702549,0.070732269516424,0.551769476327175,14,0.222753956412887,0.0905420005449754,0.633074304794585
hicp_yoy,15,-0.73268520302561,0.0754477541495816,2.70244136438119e-22,15,0.222753956412887,0.0905420005449754,0.633074304794585
hicp_yoy,16,-0.968430776656288,0.0801632387828562,1.33522197733929e-33,16,0.222753956412887,0.0905420005449754,0.633074304794585
