Bin,Export (log),Export (mil. EUR),HICP (index),Import (log),Import (mil. EUR),Inflace YoY (p.b.),Nezaměstnanost (p.b.)
Pre-trend (-12 až -7),0.06*** (0.02),-1024.64*** (302.87),-0.42* (0.22),0.06*** (0.02),-387.84*** (147.53),-0.21 (0.19),-0.02 (0.09)
Měsíc události (t=0),-0.01 (0.02),-127.34 (234.85),0.47*** (0.12),-0.00 (0.01),158.31 (146.05),-0.27 (0.19),0.05 (0.08)
1 až 6 měsíců po,0.02 (0.02),187.43 (254.03),0.20 (0.12),0.05*** (0.01),932.38*** (154.96),-1.09*** (0.36),-0.04 (0.11)
7 až 12 měsíců po,0.00 (0.02),347.07 (273.19),0.70 (0.51),0.03** (0.02),1300.46*** (189.52),-0.93*** (0.34),-0.35*** (0.10)
13 až 18 měsíců po,0.03 (0.02),1558.35*** (374.78),4.39*** (0.48),0.07*** (0.01),2881.38*** (258.59),1.85*** (0.41),-0.15 (0.11)
Pre-Tail,-0.07** (0.03),-179.94 (275.31),-1.97*** (0.33),-0.07*** (0.02),-46.22 (204.01),-0.94** (0.37),-0.40 (0.33)
Post-Tail,0.03 (0.02),1706.02*** (331.32),4.87*** (0.48),0.06*** (0.01),2200.31*** (338.07),-0.26 (0.58),0.15 (0.16)
N,240,240,240,240,240,228,240
R-squared,0.14,0.96,0.85,0.24,0.95,0.25,0.63
