Bin,Export (log),Export (mil. EUR),HICP (index),Import (log),Import (mil. EUR),Inflace YoY (p.b.),Nezaměstnanost (p.b.)
Pre-trend (-12 až -7),-0.01 (0.01),-84.83 (155.45),-0.23 (0.21),-0.02 (0.02),-454.99*** (105.08),0.44* (0.27),0.39** (0.20)
Měsíc události (t=0),0.02 (0.02),905.57*** (219.05),1.69*** (0.31),0.01 (0.03),948.12*** (153.95),1.04*** (0.37),-0.79* (0.42)
1 až 6 měsíců po,0.04*** (0.01),1446.98*** (319.47),4.03*** (0.66),0.05*** (0.02),1759.48*** (204.73),2.92*** (0.47),-0.13 (0.19)
7 až 12 měsíců po,0.09*** (0.01),2061.70*** (202.17),4.65*** (0.92),0.07*** (0.02),1676.09*** (328.38),2.11*** (0.32),-0.09 (0.20)
13 až 18 měsíců po,0.10*** (0.02),1244.63*** (184.13),6.35*** (0.45),0.10*** (0.02),897.21*** (138.97),-0.57 (0.42),-0.45 (0.33)
Pre-Tail,-0.06*** (0.02),-561.22*** (214.28),-1.79*** (0.34),-0.09*** (0.02),-1312.67*** (131.33),0.63* (0.32),0.13 (0.32)
Post-Tail,0.15*** (0.02),1286.89*** (199.13),5.36*** (0.39),0.11*** (0.03),445.26*** (124.48),-0.30 (0.48),-0.41 (0.39)
N,240,240,240,240,240,228,240
R-squared,0.53,0.96,0.87,0.53,0.96,0.31,0.71
