Bin,Export (log),Export (mil. EUR),HICP (index),Import (log),Import (mil. EUR),Inflace YoY (p.b.),Nezaměstnanost (p.b.)
Pre-trend (-12 až -7),0.03 (0.02),9.35 (124.90),0.13 (0.22),0.01 (0.02),-366.78*** (92.94),0.34 (0.27),0.35** (0.16)
Měsíc události (t=0),-0.04** (0.02),348.89*** (120.38),2.08*** (0.20),-0.03 (0.02),606.67*** (45.53),1.44*** (0.18),0.15* (0.08)
1 až 6 měsíců po,-0.01 (0.02),1216.62*** (341.38),3.70*** (0.53),0.00 (0.02),1584.40*** (217.80),3.13*** (0.46),0.15 (0.11)
7 až 12 měsíců po,-0.02 (0.02),1862.37*** (202.33),3.43*** (0.82),-0.03 (0.03),1474.62*** (348.43),2.45*** (0.34),0.18 (0.19)
13 až 18 měsíců po,-0.10*** (0.02),809.98*** (184.38),4.36*** (0.32),-0.08*** (0.02),510.56*** (155.15),0.14 (0.36),0.40 (0.26)
Pre-Tail,0.12*** (0.03),91.73 (343.85),-0.16 (0.38),0.07** (0.03),-719.26*** (231.28),0.20 (0.53),0.24 (0.45)
Post-Tail,-0.10*** (0.02),751.80*** (202.28),2.81*** (0.34),-0.11*** (0.03),-37.86 (131.11),0.57 (0.43),0.61* (0.33)
N,240,240,240,240,240,228,240
R-squared,0.67,0.96,0.88,0.67,0.96,0.29,0.63
