Bin,Export (log),Export (mil. EUR),HICP (index),Import (log),Import (mil. EUR),Inflace YoY (p.b.),Nezaměstnanost (p.b.)
Pre-trend (-12 až -7),0.00 (0.02),-75.69 (135.09),-0.12 (0.23),-0.01 (0.02),-447.52*** (100.13),0.39 (0.26),0.31** (0.14)
Měsíc události (t=0),-0.02 (0.01),400.47*** (130.29),2.24*** (0.22),-0.02 (0.02),655.65*** (44.03),1.41*** (0.16),0.17** (0.07)
1 až 6 měsíců po,0.02 (0.01),1321.78*** (357.71),4.02*** (0.58),0.03 (0.02),1684.24*** (230.79),3.07*** (0.44),0.19** (0.07)
7 až 12 měsíců po,0.04*** (0.02),2062.76*** (184.18),4.03*** (0.86),0.03 (0.02),1664.88*** (330.49),2.33*** (0.30),0.26*** (0.09)
13 až 18 měsíců po,-0.01 (0.01),1110.30*** (146.53),5.26*** (0.33),0.00 (0.02),795.69*** (115.43),-0.04 (0.28),0.51*** (0.09)
Pre-Tail,-0.05** (0.03),-491.60** (206.56),-1.90*** (0.40),-0.09*** (0.03),-1273.08*** (136.82),0.51 (0.35),0.02 (0.29)
Post-Tail,0.02 (0.02),1138.89*** (148.49),3.97*** (0.28),-0.01 (0.02),329.64*** (74.34),0.35 (0.32),0.76*** (0.10)
N,240,240,240,240,240,228,240
R-squared,0.07,0.96,0.83,0.15,0.95,0.28,0.63
