Bin,Export (log),Export (mil. EUR),HICP (index),Import (log),Import (mil. EUR),Inflace YoY (p.b.),Nezaměstnanost (p.b.)
Pre-trend (-12 až -7),0.02*** (0.01),557.91*** (151.25),0.40 (0.34),-0.00 (0.01),313.14*** (76.62),2.44*** (0.79),-0.75*** (0.10)
Měsíc události (t=0),-0.02** (0.01),-1014.02*** (146.33),0.15 (0.31),-0.08*** (0.01),-1060.77*** (62.73),-2.64*** (0.48),-0.21** (0.08)
1 až 6 měsíců po,0.02 (0.02),-853.63*** (144.05),0.65** (0.29),0.00 (0.02),-917.86*** (66.33),-1.84*** (0.47),-0.88*** (0.19)
7 až 12 měsíců po,-0.00 (0.01),-741.57*** (163.24),0.33 (0.35),0.01 (0.02),-729.08*** (101.62),-1.74*** (0.54),-2.36*** (0.39)
13 až 18 měsíců po,0.01 (0.01),-482.52*** (182.64),1.33*** (0.38),0.02 (0.02),-340.11** (140.75),-1.59*** (0.56),-3.79*** (0.21)
Pre-Tail,0.09*** (0.03),-80.07 (240.31),-3.26*** (0.66),0.05* (0.03),-445.50* (250.42),-0.97 (0.95),-0.69 (0.45)
Post-Tail,0.02 (0.03),-342.95 (271.30),-0.12 (0.56),0.03 (0.03),-397.51 (281.26),-3.11*** (0.94),-5.22*** (0.59)
N,240,240,240,240,240,228,240
R-squared,0.55,0.96,0.88,0.61,0.93,0.45,0.87
