Bin,Export (log),Export (mil. EUR),HICP (index),Import (log),Import (mil. EUR),Inflace YoY (p.b.),Nezaměstnanost (p.b.)
Pre-trend (-12 až -7),0.03*** (0.01),663.59*** (171.00),1.02** (0.47),0.01 (0.01),466.23*** (99.03),2.31*** (0.74),-0.96*** (0.11)
Měsíc události (t=0),-0.02*** (0.01),-1073.05*** (160.05),-0.19 (0.39),-0.09*** (0.01),-1146.27*** (77.04),-2.57*** (0.46),-0.09 (0.10)
1 až 6 měsíců po,0.00 (0.02),-969.07*** (154.66),-0.01 (0.39),-0.01 (0.01),-1085.08*** (78.19),-1.69*** (0.43),-0.66*** (0.16)
7 až 12 měsíců po,-0.02** (0.01),-949.23*** (173.19),-0.88** (0.42),-0.02 (0.02),-1029.87*** (106.04),-1.48*** (0.49),-1.96*** (0.35)
13 až 18 měsíců po,-0.02*** (0.01),-776.17*** (177.47),-0.37 (0.42),-0.01 (0.01),-765.46*** (113.70),-1.22*** (0.47),-3.22*** (0.12)
Pre-Tail,0.16*** (0.03),594.48*** (184.46),0.65 (0.70),0.14*** (0.03),531.57*** (138.89),-1.64** (0.68),-2.00*** (0.43)
Post-Tail,-0.04** (0.02),-1001.69*** (277.13),-3.93*** (0.76),-0.05*** (0.02),-1351.69*** (291.12),-2.25*** (0.61),-3.94*** (0.26)
N,240,240,240,240,240,228,240
R-squared,0.48,0.95,0.71,0.47,0.91,0.42,0.82
