Bin,Export (log),Export (mil. EUR),HICP (index),Import (log),Import (mil. EUR),Inflace YoY (p.b.),Nezaměstnanost (p.b.)
Pre-trend (-12 až -7),0.00 (0.01),-98.20*** (36.03),-0.85*** (0.19),0.01 (0.02),-27.36 (65.71),-1.61*** (0.56),0.52*** (0.14)
Měsíc události (t=0),-0.01* (0.01),198.76*** (15.63),1.99*** (0.06),-0.01 (0.01),194.67*** (37.31),2.77*** (0.32),0.17 (0.15)
1 až 6 měsíců po,-0.02** (0.01),116.77*** (32.09),1.37*** (0.09),-0.03* (0.01),27.77 (83.56),1.11*** (0.38),0.22 (0.19)
7 až 12 měsíců po,-0.05*** (0.01),-792.70*** (201.65),0.29 (0.28),-0.04*** (0.01),-576.50*** (205.44),-1.39** (0.67),1.17*** (0.15)
13 až 18 měsíců po,-0.04*** (0.01),-1487.32*** (63.93),0.52*** (0.15),-0.04*** (0.01),-1441.90*** (63.68),-2.44*** (0.34),0.49** (0.20)
Pre-Tail,0.15*** (0.02),105.88 (74.56),1.37** (0.61),0.14*** (0.03),189.98* (102.81),-3.34*** (0.43),-1.44*** (0.50)
Post-Tail,-0.09*** (0.02),-1489.95*** (202.07),-2.60*** (0.76),-0.08*** (0.02),-1597.17*** (255.59),-2.68*** (0.50),-2.37*** (0.31)
N,240,240,240,240,240,228,240
R-squared,0.64,0.95,0.67,0.59,0.91,0.53,0.83
