Bin,Export (log),Export (mil. EUR),HICP (index),Import (log),Import (mil. EUR),Inflace YoY (p.b.),Nezaměstnanost (p.b.)
Pre-trend (-12 až -7),0.03*** (0.01),540.71** (227.11),1.58*** (0.58),0.02** (0.01),593.48*** (189.43),2.28*** (0.77),-1.13*** (0.20)
Měsíc události (t=0),-0.04*** (0.01),-938.72*** (186.98),-0.55 (0.50),-0.11*** (0.01),-1167.49*** (141.01),-2.52*** (0.47),0.20 (0.18)
1 až 6 měsíců po,-0.03** (0.01),-908.92*** (151.56),0.14 (0.46),-0.03** (0.01),-951.93*** (82.08),-1.64*** (0.45),-0.39* (0.24)
7 až 12 měsíců po,-0.05*** (0.01),-974.91*** (197.65),-0.38 (0.53),-0.03* (0.02),-831.36*** (160.96),-1.45*** (0.53),-1.84*** (0.40)
13 až 18 měsíců po,-0.04*** (0.01),-846.97*** (218.74),0.21 (0.52),-0.02 (0.01),-575.89*** (176.44),-1.21** (0.51),-3.21*** (0.21)
Pre-Tail,0.12*** (0.02),557.40** (267.80),1.38 (0.89),0.12*** (0.02),827.29*** (257.23),-1.63** (0.76),-1.82*** (0.37)
Post-Tail,-0.07*** (0.02),-1072.71*** (330.95),-3.16*** (0.80),-0.07*** (0.02),-1072.40*** (337.10),-2.24*** (0.67),-3.85*** (0.31)
N,240,240,240,240,240,228,240
R-squared,0.71,0.95,0.71,0.63,0.92,0.43,0.86
