outcome,n,r2,ar2
hicp_yoy,31,0.873400219371639,0.819143170530913
unemp_rate,31,0.709894351572775,0.585563359389678
hicp,31,0.921446530322138,0.887780757603054
imports_world_meur,31,0.877031076957764,0.824330109939662
exports_world_meur,31,0.82608244461184,0.751546349445486
log_imp,31,0.72639450822458,0.609135011749399
log_exp,31,0.714898573219502,0.592712247456432
