outcome,tau,beta,se,p
log_imp,-8,-0.00526873532327002,0,0
log_imp,-7,-0.0501058153868106,0,0
log_imp,-6,-0.0510583020949903,0,0
log_imp,-5,-0.0408581878292866,0,0
log_imp,-4,-0.0593835224283534,0,0
log_imp,-3,0.0080365232556847,0,0
log_imp,-2,0.0060663361029629,0,0
log_imp,-1,0,0,1
log_imp,0,-0.109817830653958,0,0
log_imp,1,-0.053769268337689,0,0
log_imp,2,-0.0484947211670548,0,0
log_imp,3,-0.021783184973037,0,0
log_imp,4,0.00356044539041811,0,0
log_imp,5,-0.0472302143773042,0,0
log_imp,6,-0.0113328163619215,0,0
log_imp,7,0.00512031733558689,0,0
log_imp,8,-0.00588293324837432,0,0
log_imp,9,-0.0332865237553968,0,0
log_imp,10,-0.0236810363248896,0,0
log_imp,11,-0.0559814796906917,0,0
log_imp,12,-0.0622412569685107,0,0
log_imp,13,-0.0176601598302249,0,0
log_imp,14,0.00471689069894409,0,0
log_imp,15,-0.052360177250046,0,0
log_imp,16,-0.00512624771542038,0,0
log_imp,17,-0.0300040546881881,0,0
log_imp,18,-0.0381828138455891,0,0
log_exp,-12,0.00206327411942728,0,0
log_exp,-11,-0.0109818929767282,0,0
log_exp,-10,0.0224423739888557,0,0
log_exp,-9,0.0107680461952011,0,0
log_exp,-8,-0.0034060413444426,0,0
log_exp,-7,-0.0124358408482443,0,0
log_exp,-6,-2.67743190409942e-05,0,0
log_exp,-5,-0.0421312695390645,0,0
log_exp,-4,-0.0571534578617552,0,0
log_exp,-3,-0.0524866663197425,0,0
log_exp,-2,-0.00020627341610082,0,0
log_exp,-1,0,0,1
log_exp,0,-0.0443761723914112,0,0
log_exp,1,-0.0510775415373246,0,0
log_exp,2,-0.0103145257706796,0,0
log_exp,3,-0.0669160528247588,0,0
log_exp,4,0.000100169508485249,0,0
log_exp,5,0.00479994242373572,0,0
log_exp,6,0.0316103650530266,0,0
log_exp,7,-0.0129663527846002,0,0
log_exp,8,-0.0108928090795573,0,0
log_exp,9,-0.0603230250277704,0,0
log_exp,10,-0.0314581089719983,0,0
log_exp,11,-0.0831315198204994,0,0
log_exp,12,-0.0216307926576818,0,0
log_exp,13,-0.0239850446512069,0,0
log_exp,14,-0.0355500178537813,0,0
log_exp,15,-0.0548601766167032,0,0
log_exp,16,-0.0262794619830604,0,0
log_exp,17,-0.0317026034396299,0,0
log_exp,18,-0.0235161643446506,0,0
