term,estimate,std.error,statistic,p.value,conf.low,conf.high,outcome
rel::58:treated,-0.776817506460531,,,,,,hicp_yoy
rel::59:treated,-1.37692766114374,,,,,,hicp_yoy
rel::60:treated,-0.589271991209968,,,,,,hicp_yoy
rel::61:treated,-0.659007983018959,,,,,,hicp_yoy
rel::62:treated,-0.698512942829611,,,,,,hicp_yoy
rel::63:treated,-0.536857086090546,,,,,,hicp_yoy
rel::64:treated,-0.780669231986128,,,,,,hicp_yoy
rel::65:treated,-0.316799384596528,,,,,,hicp_yoy
rel::66:treated,-0.888929934785472,,,,,,hicp_yoy
rel::67:treated,-1.1214816001952,,,,,,hicp_yoy
rel::68:treated,-1.1350667320988,,,,,,hicp_yoy
rel::69:treated,-1.05459284829132,,,,,,hicp_yoy
rel::70:treated,-0.863376029465765,,,,,,hicp_yoy
rel::71:treated,-0.367215454018614,,,,,,hicp_yoy
rel::72:treated,-0.645038997138506,,,,,,hicp_yoy
rel::73:treated,-0.835695957908548,,,,,,hicp_yoy
rel::74:treated,-0.726660799314223,,,,,,hicp_yoy
rel::75:treated,-0.868538657104655,,,,,,hicp_yoy
rel::76:treated,-1.02829958742592,,,,,,hicp_yoy
rel::77:treated,-1.22860253721447,,,,,,hicp_yoy
rel::78:treated,-0.956298523486391,,,,,,hicp_yoy
rel::79:treated,-0.656756987027019,,,,,,hicp_yoy
rel::80:treated,-1.05621046027894,,,,,,hicp_yoy
rel::81:treated,-0.865202124884729,,,,,,hicp_yoy
rel::82:treated,-0.616385829181431,,,,,,hicp_yoy
rel::83:treated,-0.596914759080588,,,,,,hicp_yoy
rel::84:treated,-1.37070389594298,,,,,,hicp_yoy
rel::85:treated,-1.05037448376218,,,,,,hicp_yoy
rel::86:treated,-1.02861029862572,,,,,,hicp_yoy
rel::87:treated,-1.12586692129524,,,,,,hicp_yoy
rel::88:treated,-0.984085723434846,,,,,,hicp_yoy
rel::89:treated,-0.864073362815105,,,,,,hicp_yoy
rel::90:treated,-1.5925679573721,,,,,,hicp_yoy
rel::91:treated,-1.62569994648195,,,,,,hicp_yoy
rel::92:treated,-1.25780945438151,,,,,,hicp_yoy
rel::93:treated,-1.3576915873633,,,,,,hicp_yoy
rel::94:treated,-2.05404927261747,,,,,,hicp_yoy
rel::95:treated,-2.12900844063205,,,,,,hicp_yoy
rel::96:treated,-1.75139786921945,,,,,,hicp_yoy
rel::97:treated,-1.64729273331944,,,,,,hicp_yoy
rel::98:treated,-1.78828563743807,,,,,,hicp_yoy
rel::99:treated,-1.50063589410006,,,,,,hicp_yoy
rel::100:treated,-1.59141956302913,,,,,,hicp_yoy
rel::101:treated,-1.62125390589225,,,,,,hicp_yoy
rel::102:treated,-1.14494376657232,,,,,,hicp_yoy
rel::103:treated,-0.996484220172212,,,,,,hicp_yoy
rel::104:treated,-0.960124375782272,,,,,,hicp_yoy
rel::105:treated,-1.18747280461183,,,,,,hicp_yoy
rel::106:treated,-0.640906490592909,,,,,,hicp_yoy
rel::107:treated,-0.439946671070304,,,,,,hicp_yoy
rel::108:treated,0.279328911982815,,,,,,hicp_yoy
rel::109:treated,0.392659183783206,,,,,,hicp_yoy
rel::110:treated,0.724111440347452,,,,,,hicp_yoy
rel::111:treated,0.994949526397032,,,,,,hicp_yoy
rel::112:treated,0.451427187570933,,,,,,hicp_yoy
rel::113:treated,0.192020343112995,,,,,,hicp_yoy
rel::114:treated,0.175314958539158,,,,,,hicp_yoy
rel::115:treated,0.204937962127876,,,,,,hicp_yoy
rel::116:treated,0.360099230655498,,,,,,hicp_yoy
rel::117:treated,0.201084940643971,,,,,,hicp_yoy
rel::118:treated,0.118762697340423,,,,,,hicp_yoy
rel::119:treated,-0.00865929101341767,,,,,,hicp_yoy
rel::120:treated,-0.0361742244686152,,,,,,hicp_yoy
rel::121:treated,-0.356930931402497,,,,,,hicp_yoy
rel::122:treated,-0.0771505118243105,,,,,,hicp_yoy
rel::123:treated,-0.261650335642541,,,,,,hicp_yoy
rel::124:treated,-0.0835570125230425,,,,,,hicp_yoy
rel::125:treated,0.0834137169840421,,,,,,hicp_yoy
rel::126:treated,0.212189694587625,,,,,,hicp_yoy
rel::127:treated,0.100998037972534,,,,,,hicp_yoy
rel::128:treated,0.242548902695091,,,,,,hicp_yoy
rel::129:treated,-0.0278600839772407,,,,,,hicp_yoy
