term,estimate,std.error,statistic,p.value,conf.low,conf.high,outcome
D,-0.393705165507055,0.304722738883317,-1.29201111459493,0.419326785062654,-4.26557467352638,3.47816434251227,hicp_yoy
D,-1.77888888888889,0.263661422132962,-6.7468682922897,0.093675826444843,-5.12902489954128,1.5712471217635,unemp_rate
